sampleDate	District	Sub.District	Location	ASLProjectType	Species	Mesh.Size	Run	Sex.Determination.Method	cardNo	fishNum	Sex	Length	Fresh.Water.Age	Salt.Water.Age	Age.Error	Length.Measurement.Type	Gear	Project	Flag
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	17	male	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	18	male	590	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	19	female	550	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	20	male	610	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	21	male	625	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	22	female	550	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	23	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	1	male	550	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	2	female	540	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	3	male	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	4	female	550	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	5	female	580	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	6	female	550	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	7	male	590	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	8	male	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	9	male	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	10	male	530	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	11	male	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	12	female	520	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	13	female	530	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	14	female	510	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	15	female	540	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	16	male	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	17	female	530	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	18	male	580	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	19	female	530	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	20	male	630	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	21	male	590	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	22	male	580	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	23	male	580	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	24	female	530	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	25	female	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	26	female	520	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	27	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	28	male	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	29	male	580	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	1	30	male	590	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	1	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	2	female	500	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	3	male	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	4	male	620	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	5	male	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	6	male	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	7	male	580	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	8	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	9	female	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	10	male	580	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	11	male	590	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	12	female	540	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	13	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	14	male	550	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	15	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	16	male	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	17	male	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	18	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	19	female	520	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	20	female	550	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	21	female	540	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	22	female	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	23	female	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	24	male	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	25	female	540	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	26	male	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	27	male	650	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	28	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	29	male	590	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	2	30	male	640	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	1	female	600	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	2	female	670	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	3	female	660	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	4	female	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	5	female	550	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	6	male	660	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	7	male	610	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	8	female	530	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	9	female	520	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	10	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	11	male	590	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	12	female	540	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	13	female	550	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	14	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	15	female	530	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/27/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	3	16	female	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	18	male	547	NA	NA	Regenerated	Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	19	male	575	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	20	female	550	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	21	male	547	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	22	male	542	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	23	female	514	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	24	male	555	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	25	male	569	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	26	male	550	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	27	male	585	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	28	male	602	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	29	male	540	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/21/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chum	5.5	Single Run	NA	22	30	male	600	0	3		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/26/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chinook	NA	Single Run	NA	2	1	male	563	1	2		Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
7/26/80	Kuskokwim	W2 (Subdistrict 2)	Aniak River	Escapement	Chinook	NA	Single Run	NA	2	2	male	778	NA	NA	Missing	Mid-eye to fork of tail	Set Gillnet	Aniak River Escapement	NA
